black_strategy,white_strategy,turn,white_move,black_move,winner,black_stones,white_stones,black_tau,white_tau,black_obligations,white_obligations,black_pair_atoms,white_pair_atoms,black_bulk_pressure,white_bulk_pressure,black_family_max,white_family_max,value_after_white,value_after_black
hybrid,min_family,5,"[[-2, 2], [3, 0]]","[[-1, -2], [1, -4]]",,13,12,0,0,0,0,0,0,23.199999999999992,11.39999999999999,0,0,0.0,0.48999999999999666
hybrid,min_family,6,"[[0, -3], [-3, 0]]","[[2, -4], [0, -4]]",,15,14,2,0,3,0,0,0,35.2,11.79999999999999,3,0,0.0,-4001.73
hybrid,min_family,7,"[[4, -4], [-1, -4]]","[[-2, 3], [4, 0]]",,17,16,0,0,0,0,0,0,15.599999999999994,8.4,0,0,0.0,0.660000000000001
hybrid,min_family,8,"[[3, -3], [-3, 3]]","[[-4, 4], [-4, 5]]",,19,18,1,0,1,0,0,0,20.399999999999995,11.599999999999998,1,0,0.0,-1998.86
hybrid,min_family,9,"[[2, -2], [-3, 4]]","[[2, 2], [5, -5]]",,21,20,0,0,0,0,0,0,18.2,9.599999999999998,0,0,0.0,0.6799999999999993
hybrid,min_family,10,"[[1, -3], [1, 2]]","[[1, 3], [3, 1]]",,23,22,2,0,4,0,0,0,77.00000000000001,18.799999999999997,4,0,0.0,-4006.94
hybrid,min_family,11,"[[5, -1], [-1, 5]]","[[-1, 3], [2, 1]]",,25,24,2,0,2,0,0,0,22.4,17.999999999999996,2,0,0.0,-3996.38
hybrid,min_family,12,"[[2, 3], [4, 1]]","[[2, -3], [1, 4]]",,27,26,0,0,0,0,0,0,6.2,6.600000000000001,0,0,0.0,1.7300000000000004
hybrid,min_family,13,"[[0, -2], [-2, 0]]","[[-4, 2], [-4, 6]]",,29,28,2,0,2,0,0,0,21.6,9.2,1,0,0.0,-4000.1800000000003
hybrid,min_family,14,"[[-4, 1], [-2, 4]]","[[-4, 0], [-5, 1]]",,31,30,0,0,0,0,0,0,6.600000000000001,5.2,0,0,0.0,1.02
hybrid,min_family,15,"[[3, -2], [4, -2]]","[[-1, -3], [5, -2]]",,33,32,1,0,1,0,0,0,16.399999999999995,2.6,1,0,0.0,-2002.11
hybrid,hybrid,0,"[[1, 0], [1, -1]]","[[0, 1], [1, 1]]",,3,2,0,0,0,0,0,0,12.399999999999999,3.000000000000001,0,0,-0.9200000000000006,-1.1299999999999994
hybrid,hybrid,1,"[[0, -1], [-2, 1]]","[[-1, 0], [-1, -1]]",,5,4,0,0,0,0,0,0,12.399999999999997,4.800000000000002,0,0,-0.42999999999999927,-0.31999999999999895
hybrid,hybrid,2,"[[-1, 1], [-2, 0]]","[[-2, 2], [0, 2]]",,7,6,0,0,0,0,0,0,16.0,5.600000000000001,0,0,0.1600000000000006,-0.6799999999999993
hybrid,hybrid,3,"[[-1, 3], [0, 3]]","[[-1, 2], [1, 2]]",,9,8,2,0,3,0,0,0,35.60000000000001,9.599999999999998,3,0,1.3200000000000003,-4002.7999999999997
hybrid,hybrid,4,"[[-3, 2], [2, 2]]","[[2, 0], [3, -1]]",,11,10,1,0,1,0,0,0,15.799999999999995,9.999999999999998,1,0,-0.3299999999999992,-1998.66
hybrid,hybrid,5,"[[-2, 3], [4, -2]]","[[-3, 3], [1, 3]]",,13,12,0,0,0,0,0,0,3.8000000000000003,5.600000000000002,0,0,-2.3299999999999983,1.7600000000000007
hybrid,hybrid,6,"[[1, -2], [3, -2]]","[[2, -2], [1, -3]]",,15,14,0,0,0,0,0,0,6.4,5.4,0,0,-2.6999999999999993,1.15
hybrid,hybrid,7,"[[2, -1], [4, -3]]","[[4, -1], [5, -4]]",,17,16,0,0,0,0,0,0,5.4,3.6000000000000005,0,0,-2001.5,0.5400000000000003
hybrid,hybrid,8,"[[0, -2], [-1, -2]]","[[0, -4], [-2, -2]]",,19,18,0,0,0,0,0,0,7.800000000000002,3.2,0,0,-0.10999999999999965,-0.12000000000000033
hybrid,hybrid,9,"[[1, -4], [-1, -3]]","[[-2, -1], [2, 1]]",,21,20,0,0,0,0,0,0,6.6000000000000005,2.2,0,0,0.050000000000000044,-0.3300000000000002
hybrid,hybrid,10,"[[2, -3], [5, -6]]","[[5, -2], [4, -5]]",,23,22,1,0,1,0,0,0,13.6,1.5999999999999999,1,0,-1999.04,-2002.0
