template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts
T_0021,E000000004,proto,3,1,0,"[[-2,2],[0,-2],[0,0]]",[],"[[-1,1],[0,-3]]","[[[-5,5],[-4,4],[-3,3]],[[-4,4],[-3,3],[1,-1]],[[-3,3],[1,-1],[2,-2]],[[0,-5],[0,-4],[0,-1]],[[0,-4],[0,-1],[0,1]],[[0,-1],[0,1],[0,2]],[[1,-1],[2,-2],[3,-3]]]",3,0,7,11,"(-4, 1)",kink,kink_bridge,three-axis,0f82966832320ea94959f6c6def4c512fbf52acd,1,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"4.716e-16,1.158e-15,1.326,1.697,3,3.209,4.346,5.303","{""rail"":1}"
T_0022,E000000005,proto,3,1,0,"[[-1,1],[-1,2],[0,-1],[0,0]]","[[0,3],[1,-1]]","[[-1,0],[0,-2]]","[[[-1,-3],[-1,-2],[-1,-1]],[[-1,-2],[-1,-1],[-1,3]],[[-1,-1],[-1,3],[-1,4]],[[-1,3],[-1,4],[-1,5]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]]]",4,2,7,11,"(-2, 1)",bridge,bridge_fork,three-axis,d130dc1c0b38b23a4dd6ec6acc5348c8a65a0997,1,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"-3.039e-16,1.16e-15,1.326,1.697,3,3.209,4.346,5.303","{""opening"":1}"
T_0023,E000000006,proto,4,2,0,"[[-2,2],[-1,1],[-1,2]]","[[2,-2]]","[[-3,2],[-1,0]]","[[[-6,2],[-5,2],[-4,2]],[[-5,2],[-4,2],[0,2]],[[-4,2],[0,2],[1,2]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,-2],[-1,-1],[-1,3]],[[-1,-1],[-1,3],[-1,4]],[[-1,3],[-1,4],[-1,5]],[[0,2],[1,2],[2,2]]]",3,1,8,12,"(-2, 0)",rail,rail_ladder,three-axis,813f6e4fae5803efc738a3cedc1cfcdd08078078,1,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-1.21e-15,1.165e-16,1.326,1.326,3,3,4.346,4.346","{""opening"":1}"
T_0024,E000000007,proto,3,1,0,"[[-2,2],[-1,2],[0,-1],[0,0]]","[[1,-1]]","[[-3,2],[0,-2]]","[[[-6,2],[-5,2],[-4,2]],[[-5,2],[-4,2],[0,2]],[[-4,2],[0,2],[1,2]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]],[[0,1],[0,2],[0,3]],[[0,2],[1,2],[2,2]]]",4,1,8,11,"(-4, 1)",kink,kink_bridge,three-axis,2df0c81bb4eae78ebb0ddff601dc840272849a54,1,1,11,8,"{""3"":8}",0,0,3,6,0.5714285714285714,"5.152e-16,0.6902,1.346,1.721,3.098,3.375,4.369,5.854","{""opening"":1}"
T_0025,E000000008,proto,4,2,0,"[[-1,1],[-1,2],[0,-1]]",[],"[[-2,1],[-1,0]]","[[[-5,4],[-4,3],[-3,2]],[[-4,3],[-3,2],[1,-2]],[[-3,2],[1,-2],[2,-3]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,-2],[-1,-1],[-1,3]],[[-1,-1],[-1,3],[-1,4]],[[-1,3],[-1,4],[-1,5]],[[1,-2],[2,-3],[3,-4]]]",3,0,8,12,"(-1, 0)",adjacent,adjacent,three-axis,3121a7f9041fece09930de19f0dfa06b6ff1a668,1,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-1.21e-15,1.165e-16,1.326,1.326,3,3,4.346,4.346","{""opening"":1}"
T_0026,E000000009,proto,3,1,0,"[[-1,1],[-1,2],[0,-1],[0,0]]","[[0,3],[1,-1]]","[[-1,3],[0,-2]]","[[[-1,-2],[-1,-1],[-1,0]],[[-1,-1],[-1,0],[-1,4]],[[-1,0],[-1,4],[-1,5]],[[-1,4],[-1,5],[-1,6]],[[0,-5],[0,-4],[0,-3]],[[0,-4],[0,-3],[0,1]],[[0,-3],[0,1],[0,2]]]",4,2,7,11,"(-5, 1)",kink,kink_bridge,three-axis,24a8ed1e57b38d530556bb1c13be282944e3093a,1,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"-3.039e-16,1.16e-15,1.326,1.697,3,3.209,4.346,5.303","{""opening"":1}"
T_0027,E000000010,proto,3,1,0,"[[-2,2],[-1,1],[-1,2]]","[[0,2],[1,-1]]","[[-3,2],[-1,3]]","[[[-6,2],[-5,2],[-4,2]],[[-1,-2],[-1,-1],[-1,0]],[[-1,-1],[-1,0],[-1,4]],[[-1,0],[-1,4],[-1,5]],[[-1,4],[-1,5],[-1,6]]]",3,2,5,9,"(-3, 1)",kink,kink_bridge,three-axis,7f5e42e0ce1bd74d95f3b7d379806f7182b78c24,1,1,9,5,"{""3"":5}",0,0,3,18,0.5,"-3.039e-16,-1.11e-16,1.326,3,3,3,4.346,7","{""opening"":1}"
T_0028,E000000011,proto,4,2,0,"[[-1,1],[-1,2],[0,0]]","[[1,-1]]","[[-1,0],[1,0]]","[[[-4,0],[-3,0],[-2,0]],[[-3,0],[-2,0],[2,0]],[[-2,0],[2,0],[3,0]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,-2],[-1,-1],[-1,3]],[[-1,-1],[-1,3],[-1,4]],[[-1,3],[-1,4],[-1,5]],[[2,0],[3,0],[4,0]]]",3,1,8,12,"(-2, 0)",rail,rail_ladder,three-axis,5ed39c1e91a28ba6b3ce2a57511100a0871db352,1,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-1.21e-15,1.165e-16,1.326,1.326,3,3,4.346,4.346","{""opening"":1}"
T_0029,E000000012,proto,4,2,0,"[[-1,1],[-1,2],[0,-1]]",[],"[[-1,0],[1,-2]]","[[[-4,3],[-3,2],[-2,1]],[[-3,2],[-2,1],[2,-3]],[[-2,1],[2,-3],[3,-4]],[[-1,-3],[-1,-2],[-1,-1]],[[-1,-2],[-1,-1],[-1,3]],[[-1,-1],[-1,3],[-1,4]],[[-1,3],[-1,4],[-1,5]],[[2,-3],[3,-4],[4,-5]]]",3,0,8,12,"(-2, 0)",rail,rail_ladder,three-axis,7ff3f26d1f98e38489e0ba53d925cb21b732abe3,1,1,12,8,"{""3"":8}",0,0,4,36,0.35714285714285715,"-1.21e-15,1.165e-16,1.326,1.326,3,3,4.346,4.346","{""opening"":1}"
T_0030,E000000013,proto,3,1,0,"[[-2,2],[-1,2],[0,-1]]",[],"[[-3,2],[-2,1]]","[[[-6,2],[-5,2],[-4,2]],[[-5,2],[-4,2],[0,2]],[[-5,4],[-4,3],[-1,0]],[[-4,2],[0,2],[1,2]],[[-4,3],[-1,0],[1,-2]],[[-1,0],[1,-2],[2,-3]],[[0,2],[1,2],[2,2]]]",3,0,7,11,"(-1, 0)",adjacent,adjacent,three-axis,93adbd9938497914fab4770de4e30f5facac3895,1,1,11,7,"{""3"":7}",0,0,3,6,0.38095238095238093,"-9.192e-16,-2.715e-16,1.326,1.697,3,3.209,4.346,5.303","{""opening"":1}"
