opening_id,radius,white_pair,best_black_reply,score,nodes,cache_hits,final_class,black_tau,white_tau,black_obligations,white_obligations,black_bulk_pressure,white_bulk_pressure,principal_variation
O0043,3,"[[-3, 1], [-2, 1]]","[[0, -1], [0, 1]]",0.14,406,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, 0], [0, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0044,3,"[[-3, 1], [-2, 2]]","[[0, -1], [0, 1]]",0.07,323,0,black_bulk_edge,0,0,0,0,7.0,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.06999999999999999}, {""move"": [[1, 0], [0, -2]], ""player"": ""white"", ""score"": 0.06999999999999999}]"
O0045,3,"[[-3, 1], [-2, 3]]","[[0, -1], [0, 1]]",0.14,372,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, -1], [0, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0046,3,"[[-3, 1], [-1, -1]]","[[0, -1], [-1, 1]]",0.07,329,0,screened_or_balanced,0,0,0,0,4.6,0.0,"[{""move"": [[0, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.07000000000000002}, {""move"": [[1, -1], [0, 1]], ""player"": ""white"", ""score"": 0.07000000000000002}]"
O0047,3,"[[-3, 1], [-1, 0]]","[[0, -1], [-1, 1]]",-0.14,263,0,screened_or_balanced,0,0,0,0,4.2,0.0,"[{""move"": [[0, -1], [-1, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, -1], [0, 1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0048,3,"[[-3, 1], [-1, 1]]","[[-1, 0], [0, 1]]",-0.14,354,0,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[-1, 0], [0, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, 0], [0, -1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0049,3,"[[-3, 1], [-1, 2]]","[[1, 0], [-1, 1]]",0.0,304,0,screened_or_balanced,0,0,0,0,4.6,0.0,"[{""move"": [[1, 0], [-1, 1]], ""player"": ""black"", ""score"": 0.0}, {""move"": [[1, -1], [-1, 0]], ""player"": ""white"", ""score"": 0.0}]"
O0050,3,"[[-3, 1], [-1, 3]]","[[1, -1], [-1, 1]]",0.14,303,53,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0051,3,"[[-3, 1], [0, -2]]","[[1, -1], [-1, 1]]",0.07,288,0,black_bulk_edge,0,0,0,0,7.0,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.06999999999999999}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": 0.06999999999999999}]"
O0052,3,"[[-3, 1], [0, -1]]","[[1, 0], [-1, 0]]",-0.28,211,0,black_bulk_edge,0,0,0,0,7.0,0.4,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": -0.27999999999999997}, {""move"": [[1, -1], [2, 0]], ""player"": ""white"", ""score"": -0.27999999999999997}]"
