template_id,source_event_id,kind,tau,pressure,terminal,attacker_stones,defender_stones,move_stones,obligation_edges,num_attacker_stones,num_defender_stones,num_obligations,num_obligation_vertices,pair_shape,shape_kind,family,line_axis_support,canonical_signature,frequency,automorphism_group_size,number_of_vertices,number_of_edges,edge_size_histogram,singleton_count,pair_edge_count,transversal_number_tau,number_of_minimum_transversals,intersection_graph_density,laplacian_spectrum,source_counts,source_span,source_entropy,generality_index,channel_label,integer_fingerprint,abstract_incidence_signature,abstract_signature_exact,incidence_cell_count,incidence_edge_count,cell_color_histogram,d6_stabilizer_order,d6_orbit_size,burnside_fixed_fraction,a2_support_signature,a2_coxeter_diameter
T_0031,E000000027,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[-1,1],[1,-1]]","[[[-4,0],[-3,0],[-2,0]],[[-4,4],[-3,3],[-2,2]],[[2,-2],[3,-3],[4,-4]],[[2,0],[3,0],[4,0]]]",3,0,4,12,"(-2, 0)",rail,rail_ladder,three-axis,f87f3c2f097d9e42fc807497d085350822ffcf8b,1,2,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,1.665e-16,1.665e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 2)",c7eb3b621de0ee9890e15800185ad7ae4d8039f1,0,17,4,"{""A"":3,""M"":2,""O"":12}",2,6,0.16666666666666666,"(8, 8, 8)",8
T_0038,E000000039,proto,4,2,0,"[[-1,0],[0,0],[1,0]]",[],"[[1,-1],[2,-2]]","[[[-4,0],[-3,0],[-2,0]],[[-3,3],[-2,2],[-1,1]],[[2,0],[3,0],[4,0]],[[3,-3],[4,-4],[5,-5]]]",3,0,4,12,"(-1, 0)",adjacent,adjacent,three-axis,0b141bb1cde2b1cf857ae56c43a2f0b3f4da2e52,1,1,12,4,"{""3"":4}",0,0,4,81,0.0,"-1.11e-16,-1.11e-16,-1.11e-16,1.665e-16,3,3,3,3","{""selfplay"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 12, 0, 0, 4, 1)",21efb3da5188037434fc954641ee85b3db0396e9,0,17,4,"{""A"":3,""M"":2,""O"":12}",1,12,0.08333333333333333,"(9, 8, 8)",9
T_0041,E000000042,exact,4,2,1,"[[-3,0],[-2,0],[-1,-1],[-1,0],[0,-1],[0,0],[1,0],[2,-1]]",[],"[[1,-1],[2,0]]","[[[-4,0]],[[3,0]],[[-3,-1],[-2,-1]],[[3,-1],[4,-1]]]",8,0,4,6,"(-2, 1)",bridge,bridge_fork,three-axis,07e1abf7ff16799f352cbf34c49967c89e72eb3a,1,1,6,4,"{""1"":2,""2"":2}",2,2,4,4,0.0,"0,0,0,0,2,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 6, 2, 2, 0, 1)",334087a73b137dbb620351e7c2d5ffa5386111ba,0,16,4,"{""A"":8,""M"":2,""O"":6}",1,12,0.08333333333333333,"(8, 7, 1)",8
T_0043,E000000044,exact,4,2,1,"[[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,0],[0,0],[1,0]]",[],"[[-2,1],[2,0]]","[[[-4,0]],[[3,0]],[[-2,-4],[-2,-3]],[[-2,2],[-2,3]]]",7,0,4,6,"(-4, 1)",kink,kink_bridge,three-axis,42b4db00a6063bd389300fe415e247293383e610,1,1,6,4,"{""1"":2,""2"":2}",2,2,4,4,0.0,"0,0,0,0,2,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 6, 2, 2, 0, 1)",6d3781dbf977c8c6f511b373338417b520db1709,0,15,4,"{""A"":7,""M"":2,""O"":6}",1,12,0.08333333333333333,"(9, 7, 7)",9
T_0045,E000000046,exact,4,2,1,"[[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-1],[0,0],[1,0]]",[],"[[-3,-1],[2,0]]","[[[-4,0]],[[3,0]],[[-5,-1],[-4,-1]],[[1,-1],[2,-1]]]",8,0,4,6,"(-6, 1)",kink,kink_bridge,three-axis,b9436b81463e58f0940c001345b6bead6f6ab61e,1,1,6,4,"{""1"":2,""2"":2}",2,2,4,4,0.0,"0,0,0,0,2,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 6, 2, 2, 0, 1)",334087a73b137dbb620351e7c2d5ffa5386111ba,0,16,4,"{""A"":8,""M"":2,""O"":6}",1,12,0.08333333333333333,"(9, 8, 1)",9
T_0059,E000000060,exact,4,2,1,"[[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-1],[0,0],[1,0],[2,-1]]",[],"[[-3,-1],[1,-1]]","[[[-4,-1]],[[3,-1]],[[-4,0],[-3,0]],[[2,0],[3,0]]]",8,0,4,6,"(-4, 0)",rail,rail_ladder,three-axis,962f5621e145e024d7303119e00703d5e399804c,1,1,6,4,"{""1"":2,""2"":2}",2,2,4,4,0.0,"0,0,0,0,2,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 6, 2, 2, 0, 1)",334087a73b137dbb620351e7c2d5ffa5386111ba,0,16,4,"{""A"":8,""M"":2,""O"":6}",1,12,0.08333333333333333,"(8, 7, 1)",8
T_0073,E000000074,exact,4,2,1,"[[-4,0],[-3,0],[-2,0],[-1,-1],[-1,0],[0,-1],[0,0],[1,0],[2,-1]]",[],"[[-1,-2],[1,-1]]","[[[-5,0]],[[2,0]],[[-3,-1],[-2,-1]],[[3,-1],[4,-1]]]",9,0,4,6,"(-3, 1)",kink,kink_bridge,three-axis,2cd58f030b69428c75c610bfeb0c705648069fad,1,1,6,4,"{""1"":2,""2"":2}",2,2,4,4,0.0,"0,0,0,0,2,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 6, 2, 2, 0, 1)",8e5d4d01d098489850eb2f45da005692283b0989,0,17,4,"{""A"":9,""M"":2,""O"":6}",1,12,0.08333333333333333,"(9, 8, 2)",9
T_0077,E000000078,exact,4,2,1,"[[-4,0],[-3,0],[-2,-2],[-2,-1],[-2,0],[-1,0],[0,0],[1,0]]",[],"[[-2,1],[-1,-2]]","[[[-5,0]],[[2,0]],[[-2,-4],[-2,-3]],[[-2,2],[-2,3]]]",8,0,4,6,"(-3, 1)",kink,kink_bridge,three-axis,77862f98faf41c55ca744b4005d197021e23c0be,1,1,6,4,"{""1"":2,""2"":2}",2,2,4,4,0.0,"0,0,0,0,2,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 6, 2, 2, 0, 1)",334087a73b137dbb620351e7c2d5ffa5386111ba,0,16,4,"{""A"":8,""M"":2,""O"":6}",1,12,0.08333333333333333,"(8, 7, 7)",8
T_0097,E000000098,exact,4,2,1,"[[-3,0],[-2,-1],[-2,0],[-1,-1],[-1,0],[0,-2],[0,-1],[0,0],[1,0],[2,-1]]",[],"[[2,-4],[2,0]]","[[[-4,0]],[[3,0]],[[1,-3],[3,-5]],[[1,-1],[3,-1]]]",10,0,4,6,"(-4, 0)",rail,rail_ladder,three-axis,1c5b3c3848230a598afd52df878b69d5b0a967b3,1,1,6,4,"{""1"":2,""2"":2}",2,2,4,4,0.0,"0,0,0,0,2,2","{""adversarial"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 6, 2, 2, 0, 1)",6e4f3ac9ffa5d5c2252351e1eb6a46d7a1dcecf1,0,18,4,"{""A"":10,""M"":2,""O"":6}",1,12,0.08333333333333333,"(7, 7, 5)",7
T_0101,E000000102,proto,4,2,1,"[[-1,2],[0,-2],[0,-1],[0,0],[0,1],[1,1],[3,1],[3,2]]",[],"[[0,-3],[0,2]]","[[[0,-4]],[[0,3]],[[1,2],[2,2],[4,2]],[[2,1],[4,1],[5,1]]]",8,0,4,8,"(-5, 0)",rail,rail,three-axis,8a10d6987536d85765ae7106aaae999ebe25dde7,1,1,8,4,"{""1"":2,""3"":2}",2,0,4,9,0.0,"-1.11e-16,0,0,1.665e-16,3,3,3,3","{""rail"":1}",1,0.0,0.693147,source-local,"(4, 2, 4, 8, 2, 0, 2, 1)",943e9880ee9b326221e04f4a22e8a4abfebfcef8,0,18,4,"{""A"":8,""M"":2,""O"":8}",1,12,0.08333333333333333,"(10, 7, 6)",10
