template_id,canonical_signature,kind,family,tau,pressure,num_obligations,contained_atom_count,contained_atoms
T_0056,d894e6843482ef171189d0462d7ed515b09e983b,proto,kink_bridge,10,8,10,0,[]
T_0060,c218939bd22743d4635c37df7328254636a931ef,proto,rail,10,8,10,0,[]
T_0062,4bfe2a210900014c6706a885431e59fba5f001b7,proto,bridge_fork,10,8,10,0,[]
T_0068,91fed06201379857d5426fb9322eb4a55352d771,proto,kink_bridge,10,8,10,0,[]
T_0082,9b389e8ed86b48fae3abb28dfe40e6daa869da26,proto,kink_bridge,10,8,10,0,[]
T_0090,02d71a2187b310b3e102401b60b07603abe99800,proto,rail_ladder,10,8,10,0,[]
T_0092,89e8b6326280ec300c2f01ad81412899e1710c26,proto,kink_bridge,10,8,10,0,[]
T_0098,5afbeeb7efdb7dbf88cf944055697b9cb1d007a5,proto,rail,10,8,10,0,[]
T_0042,1c81aab59176cf24600cd05e75adfc787a3bb919,proto,bridge_fork,9,7,9,0,[]
T_0052,122b9736a8e9dc721a553b6098e98079638d306b,proto,kink_bridge,9,7,9,0,[]
T_0054,3062ff0d34c2f0e18765c4b71c29e02984d6640f,proto,kink_bridge,9,7,9,0,[]
T_0080,d3587aaac5797c6b238e8faa1af4a544693adcad,proto,kink_bridge,9,7,9,0,[]
T_0084,99f267cb78c55d9a16f89ac911db43edc2fb3cbe,proto,adjacent,9,7,9,0,[]
T_0086,d9f4b20bb389946e3641ea5e27b2ecfe9f685ca7,proto,adjacent,9,7,9,0,[]
T_0100,01b3aeed288f83d8b3cb94031b8d24cd8fb57d51,proto,kink_bridge,9,7,9,0,[]
T_0112,271860f48b77228f5db2199b012aed4b12034824,proto,kink_bridge,7,5,7,0,[]
T_0061,cb52750967bf4213c117774215056dd8d36ed15c,exact,bridge_fork,6,4,6,0,[]
T_0075,edfd3ae874e989246bc5a12039f5be7aa3595319,exact,rail_ladder,6,4,6,0,[]
T_0079,9d773ac5b8ac8f6e8cdbc9a11384375d084ac654,exact,kink_bridge,6,4,6,0,[]
T_0089,e35c1e35f3f8643f0af31160669da3845a849830,exact,rail_ladder,6,4,6,0,[]
T_0091,32e2d1a46309d3fb06fd35690e8baf652c96224e,exact,kink_bridge,6,4,6,0,[]
T_0093,483bcd603e5f346b176ef979d7863d673742df73,exact,kink_bridge,6,4,6,0,[]
T_0095,08a52505acbd6c06d6df498ebed1d4e12c897179,exact,adjacent,6,4,6,0,[]
T_0104,8d84f61a8d1356d4066cbf0742c20c83b6859ba0,proto,kink_bridge,6,4,6,0,[]
T_0109,d68ef24321751dc2008727fcf40f2ad7b68a4881,proto,kink_bridge,6,4,6,0,[]
T_0117,6cc87517a8f416f33b05e6733a0cd1e5e8c7555d,proto,kink_bridge,6,4,6,0,[]
T_0119,3bbb158fae9c13f659e818da6bf6f735419e4f5b,proto,kink_bridge,6,4,6,0,[]
T_0122,bd45d017aeb8d82c0fc4d9b1d88e0ed40bf40ef6,proto,bridge_fork,6,4,6,0,[]
T_0125,72dc7694bbf4020749f63b506d762ff715ae3715,proto,adjacent,6,4,6,0,[]
T_0135,ced1bae3ea268ab6d834562cacec13441e14a1f2,proto,rail_ladder,6,4,6,0,[]
T_0150,9d22b6bcf41690615dd1fe649254290e25e4d682,proto,rail_ladder,6,4,6,0,[]
T_0263,b942a0b416640585edcfcef2295fa7af9ad5483d,proto,rail_ladder,6,4,6,0,[]
T_0047,24d2a8fb36d2f0d36cc42735af9c026d49e6c387,exact,bridge_fork,5,3,5,0,[]
T_0051,d0ec2cce175d45ca83e3ac37890e278e6baba258,exact,kink_bridge,5,3,5,0,[]
T_0053,62cdcd7890f308b4d18c3ed329130426201113ea,exact,kink_bridge,5,3,5,0,[]
T_0055,19b7afa31ce866d103bd9dd908cb24e6bb1f6775,exact,kink_bridge,5,3,5,0,[]
T_0057,ee1a2bb623959b151cafb8be823a2dfdd26b78f4,exact,kink_bridge,5,3,5,0,[]
T_0069,2b7693258fe3fb367c7ee5cebfb67e43085ae137,exact,kink_bridge,5,3,5,0,[]
T_0107,c61c3347459494500f516d1f8669fd26f82e8f00,proto,kink_bridge,5,3,5,0,[]
T_0108,b55f904966956993c941bd2941a8071bf4c08b3a,proto,bridge_fork,5,3,5,0,[]
T_0110,2b01d2ef02440c31e57042bac7def8e47b189adb,proto,kink_bridge,5,3,5,0,[]
T_0111,cb0dbff2c57da881e4cf65401c8de140a7def55e,proto,adjacent,5,3,5,0,[]
T_0115,bb8d0e429f9a8001a1d60608344c50c7357e34a0,proto,rail_ladder,5,3,5,0,[]
T_0118,593d4ca8ee57807defbabc0053f2a3881154a1fa,proto,kink_bridge,5,3,5,0,[]
T_0121,f2012527b85c652baa435c3fd4e181e005a783a0,proto,rail_ladder,5,3,5,0,[]
T_0124,29674ebf739ae789c90e97b7905112234d72f1d9,proto,adjacent,5,3,5,0,[]
T_0126,bb83e5acb09bf30d185b509b71bf4f00e34a9734,proto,kink_bridge,5,3,5,0,[]
T_0127,1ac6b8765a2faf10ec5cc3652cb4bcb44bc87772,proto,adjacent,5,3,5,0,[]
T_0134,a9b8c6db6d8c9bdf34acf259ea8a650377b80c61,proto,kink_bridge,5,3,5,0,[]
T_0137,2c87bf070b90738c46e346dc75055d6d45800fe3,proto,kink_bridge,5,3,5,0,[]
T_0139,e6e3087fd3624882f19c4cc3640494c31e23e872,proto,rail_ladder,5,3,5,0,[]
T_0140,59655d4f9012d9dfd46c175d49d17457adbdfc8c,proto,kink_bridge,5,3,5,0,[]
T_0141,ebf5db46b6400f82ea35799e04977b98e02acaf4,proto,kink_bridge,5,3,5,0,[]
T_0145,97266a6f5143a50bc61d244cb4fcd0bb91bb36ce,proto,kink_bridge,5,3,5,0,[]
T_0151,3074584a90d2f9da98cf48418102e06e62b2c41e,proto,kink_bridge,5,3,5,0,[]
T_0152,67f92fc9d629ff1e280c4b825c841dc58fdf0563,proto,kink_bridge,5,3,5,0,[]
T_0153,32365a1ada7fa3e56ae54831ee52ba894c592498,proto,kink_bridge,5,3,5,0,[]
T_0157,57149f0a34720fdb787e6101ee428b2940f302cc,proto,kink_bridge,5,3,5,0,[]
T_0214,372cd481c6fb6fc85b75fa6246ef6f9f393d1ed0,proto,bridge_fork,5,3,5,0,[]
T_0215,a97569729eeb6408c22239528b1a2e729b805cb8,proto,bridge_fork,5,3,5,0,[]
T_0260,453f83ce82e48da8e3c7f72c0af2f1a262a33038,proto,rail_ladder,5,3,5,0,[]
T_0265,0976f0ed5e6a75bfc07e6a04ae9bbc8e3d84287f,proto,kink_bridge,5,3,5,0,[]
T_0273,3acbf1cec4e31cd3ebc6c654d8faaf0dea5b3ef8,proto,bridge_fork,5,3,5,0,[]
T_0274,1b02b9f18d945aecd14cf1dda1093af235c232fd,proto,kink_bridge,5,3,5,0,[]
T_0277,684e39235370e66203e7bd016a1b8371785f09ae,proto,rail_ladder,5,3,5,1,"[""T_0001""]"
T_0284,403346cfe7436b0431cce0b58f519904a9acd918,proto,bridge_fork,5,3,5,0,[]
T_0010,ed1aa8e5f8f3a6e303b5e8b58230190529532431,proto,rail_ladder,4,2,4,0,[]
T_0012,df1aa4fedae58a6734ce3a6fb4217aab637c5349,proto,adjacent,4,2,4,0,[]
T_0015,1789734f7563836a3f84667dcb0af3fbacf09305,proto,rail_ladder,4,2,4,0,[]
T_0016,d9b9ac925219c62b005fa391332fb1333bd3ef7c,proto,rail_ladder,4,2,4,0,[]
T_0018,38bfbb414b5e0abf56930743cb5f93b0da16c386,proto,adjacent,4,2,4,0,[]
T_0031,f87f3c2f097d9e42fc807497d085350822ffcf8b,proto,rail_ladder,4,2,4,0,[]
T_0038,0b141bb1cde2b1cf857ae56c43a2f0b3f4da2e52,proto,adjacent,4,2,4,0,[]
T_0041,07e1abf7ff16799f352cbf34c49967c89e72eb3a,exact,bridge_fork,4,2,4,0,[]
T_0043,42b4db00a6063bd389300fe415e247293383e610,exact,kink_bridge,4,2,4,0,[]
T_0045,b9436b81463e58f0940c001345b6bead6f6ab61e,exact,kink_bridge,4,2,4,0,[]
T_0059,962f5621e145e024d7303119e00703d5e399804c,exact,rail_ladder,4,2,4,0,[]
T_0073,2cd58f030b69428c75c610bfeb0c705648069fad,exact,kink_bridge,4,2,4,0,[]
T_0077,77862f98faf41c55ca744b4005d197021e23c0be,exact,kink_bridge,4,2,4,0,[]
T_0097,1c5b3c3848230a598afd52df878b69d5b0a967b3,exact,rail_ladder,4,2,4,0,[]
T_0101,8a10d6987536d85765ae7106aaae999ebe25dde7,proto,rail,4,2,4,0,[]
T_0103,377c6e71e79c886a99223e10d3683fdde160de62,proto,bridge_fork,4,2,4,0,[]
T_0113,1f882028ba2817cdd923c276300af751d7b67090,proto,kink_bridge,4,2,4,0,[]
T_0116,60d20bc1d9608594c951703f576e84f2858b84b1,proto,rail_ladder,4,2,4,0,[]
T_0129,3416c26d9ccac6750e9c3478d32b54508647836f,proto,rail_ladder,4,2,4,0,[]
T_0130,6fb50dcbebf209bd8bd3e4ad7f897b73d0a18479,proto,kink_bridge,4,2,4,0,[]
T_0132,0cf63acbad0bf407be17a83b89c3d886775b3796,proto,kink_bridge,4,2,4,0,[]
T_0138,d771403a38abd2d7b1d865fba5a3e5435be2e805,proto,rail_ladder,4,2,4,0,[]
T_0142,5342b3da597dda73987621b8d5d0a20099fe2dd3,proto,kink_bridge,4,2,4,0,[]
T_0143,f0577ea2e124e9238d94d426104760a709fef747,proto,kink_bridge,4,2,4,0,[]
T_0144,932d9dddd6e6874afebdcc6b63b78e5aaf147324,proto,kink_bridge,4,2,4,0,[]
T_0146,11b3d64be8005c95807517de8eedbefe5a68fd95,proto,kink_bridge,4,2,4,0,[]
T_0148,5e6b11357894f548bbf51d1385441e92604f0ad0,proto,rail_ladder,4,2,4,0,[]
T_0149,b6f5eb03765ea56a190193be60604e84d15ef7d3,proto,kink_bridge,4,2,4,0,[]
T_0154,4a38767d74ba4d51d674bee487cfbf32c12d7dfd,proto,kink_bridge,4,2,4,0,[]
T_0155,6e676dfbbc1c21401dbd78dce37a90ae6b5e223f,proto,kink_bridge,4,2,4,0,[]
T_0169,b3b26d70e881c43e46b6b210f22eae5694f3e7cb,proto,adjacent,4,2,4,0,[]
T_0178,bf32b72fcc2ec6efaac156ea993cf0e8d27c3e91,proto,rail_ladder,4,2,4,0,[]
T_0220,147e0b743cf4fa8c94b8122b230fef0ef0854df9,proto,kink_bridge,4,2,4,0,[]
T_0224,7a406b4e487938b6bcc72862d4d678d00acf1f2b,proto,bridge_fork,4,2,4,0,[]
T_0225,7b680d718615608d01290e9b3859b9cb705cd39e,proto,kink_bridge,4,2,4,0,[]
T_0234,baf96fa781f190ebfda3c451a7de6423c129a3af,proto,kink_bridge,4,2,4,0,[]
T_0238,fd32e4449f848ad8c2054b9e91b8bfe0ca7e4cf0,proto,kink_bridge,4,2,4,0,[]
T_0254,6e3c854854be7a1bb09434aac3a6faf283d4b49f,proto,kink_bridge,4,2,4,0,[]
T_0256,4d711ef8a113ede398526ad9729131ebc12de370,proto,kink_bridge,4,2,4,0,[]
T_0259,d5632932c9db82095ac6fd389ac5311fbb0886bc,proto,kink_bridge,4,2,4,0,[]
T_0264,d307e67219cd63dba285cee43fd6b154a4ee2a91,proto,kink_bridge,4,2,4,0,[]
T_0269,8712f9447c4138bfa4010a7c35a0134d92a4d20d,proto,kink_bridge,4,2,4,0,[]
T_0272,4038a58836bb464c587dbffceed6dae82a23fec2,proto,kink_bridge,4,2,4,0,[]
T_0275,4a922b4aea8d2a2635cecf113cd833058bbe070c,exact,rail_ladder,4,2,4,0,[]
T_0276,128d1a9542f62b02280b2723cd86568f4306735d,proto,rail_ladder,4,2,4,0,[]
T_0279,89305200564a1e14c87ef440e359d5ce28b468e0,proto,rail_ladder,4,2,4,0,[]
T_0280,65812b8ea6358869fc0ed80b3a8eef0e344674a6,proto,rail_ladder,4,2,4,0,[]
T_0283,d0f1ffa7aea60fca2cf7079abc80081fc99fe5e4,proto,kink_bridge,4,2,4,0,[]
T_0288,33bc7752dd4175b9ce18140fc74b22cdeec3e71d,proto,kink_bridge,4,2,4,0,[]
T_0289,2a70f57f6e3b25fe02522c924c4cc7641a92a8b6,proto,kink_bridge,4,2,4,0,[]
T_0004,c647e9ac4caa6b3ca89d68648bc79d9806e426bd,proto,adjacent,3,1,3,0,[]
T_0005,29c210ca84cae3eaac91679b35e7d1eadcbfe848,proto,adjacent,3,1,3,0,[]
T_0006,a5b5e666f11b4ebedf4118d0c72ffda7884f8432,proto,bridge_fork,3,1,3,0,[]
T_0007,578396107c367be825e612dc08442457699227cb,proto,kink_bridge,3,1,3,0,[]
T_0008,98379ea8ff54a5cdfc5620e8e7f91bbe9800cc71,proto,kink_bridge,3,1,3,0,[]
T_0009,4a1251f111dfe10ad1fbbac5d9f79ca9b61d07c9,proto,bridge_fork,3,1,3,0,[]
T_0011,e38e38d88936aa798777265fa88d46e22d4d42b4,proto,kink_bridge,3,1,3,0,[]
T_0013,992358e4cd8abaed73be909f2f66e1614d207d5a,proto,kink_bridge,3,1,3,0,[]
T_0014,0e83db1ab5fb43d7883bd22bb6befe11159c8e8f,proto,kink_bridge,3,1,3,0,[]
T_0017,5c3710b2ef041f14a931963762dbaaccb28558e0,proto,adjacent,3,1,3,0,[]
T_0019,db4007673a3454caa3df82d9ff6b4a22026e903a,proto,rail_ladder,3,1,3,0,[]
T_0020,1b0dd0523d048373f716e8d2be05b8a4be018094,proto,rail_ladder,3,1,3,0,[]
T_0021,7fc04615b2f5dda83db5d14f1b497f0d923b47e2,proto,rail_ladder,3,1,3,0,[]
T_0022,b2cde5ff22dad9d27cd89e028d6870df77dcb63d,proto,kink_bridge,3,1,3,0,[]
T_0023,d7e1f829ea939f79fa560f3f660367c356ec5abb,proto,kink_bridge,3,1,3,0,[]
T_0024,84076871231e6b5bd1f724e3e56e0ef48f8e639a,proto,rail_ladder,3,1,3,0,[]
T_0025,1c9f5953a998b33654d16ced55d5f24bb9bfe29b,proto,rail_ladder,3,1,3,0,[]
T_0026,433ac2464dac04f511bf1a078d39e110c8025b15,proto,rail_ladder,3,1,3,0,[]
T_0027,8d7fd4431ce0e14e910a626f105bfea3d01f4104,proto,kink_bridge,3,1,3,0,[]
T_0028,90be297fea2947229927c26c43a271cdd223550c,proto,rail_ladder,3,1,3,0,[]
T_0029,1e099b282ea972370047f4548deafba45252ecc4,proto,kink_bridge,3,1,3,0,[]
T_0030,a18d4f0f433772b7922410b497b023c94c4c33d9,proto,rail_ladder,3,1,3,0,[]
T_0032,b071ed0000294800d7e8085114ddfeca95d1b545,proto,adjacent,3,1,3,0,[]
T_0033,d81ac3317a14ae93e6fe7f20501f66d62afe0803,proto,rail_ladder,3,1,3,0,[]
T_0034,1fcd8bd095027affd447e5ef17ff463a870d7866,proto,rail_ladder,3,1,3,0,[]
T_0035,28c4a412474db71ae8348a55437f685ee7b62363,proto,rail_ladder,3,1,3,0,[]
T_0036,11e39522a15f6343c1d43b83db3d0c95491da55d,proto,rail_ladder,3,1,3,0,[]
T_0037,29ccb8292cadec61a972176ba5c3592aca82b12e,proto,rail_ladder,3,1,3,0,[]
T_0039,b8480364c82fb03fb7a7ddf6ce1798fa80743b93,proto,adjacent,3,1,3,0,[]
T_0040,2a604f1678bd08ffd9386c3416f599c2e134155b,proto,rail_ladder,3,1,3,0,[]
T_0049,d5e3dae0ca0559f03ca9e058fb611b27f14d2baf,exact,kink_bridge,3,1,3,0,[]
T_0063,2efa040576094502b3c175ccc660cfe73509e216,exact,kink_bridge,3,1,3,0,[]
T_0065,75de7a86e97803775b335452161db40bfcb40f5e,exact,kink_bridge,3,1,3,0,[]
T_0067,e928edcb2b888ef69977a2bfce37751d7e92cf7b,exact,kink_bridge,3,1,3,0,[]
T_0071,d06b4f4d03157d0ac80110368d6174bdff48e238,exact,bridge_fork,3,1,3,0,[]
T_0081,c400001f321a7535a5c712ed9ffbc4a50e94fb56,exact,kink_bridge,3,1,3,0,[]
T_0083,6b704124efafe35ea674b015734387eaf69a6dc3,exact,adjacent,3,1,3,0,[]
T_0085,ec521e2c7e153e6bb8cd89202ddc3a575e1ef349,exact,adjacent,3,1,3,0,[]
T_0087,1a863e3342ece3ea301b42b29b58098c49202356,exact,rail,3,1,3,0,[]
T_0099,34f5e7cd2604f4e2e21a256aa745b6ec25f1ea38,exact,kink_bridge,3,1,3,0,[]
T_0102,fd3f569d67450a80879434c2a89c87329c5bfc7e,exact,bridge_fork,3,1,3,0,[]
T_0105,9dc79919b2c3d41f785c44c8eefbd7b1a495d268,exact,kink_bridge,3,1,3,0,[]
T_0106,5e9ed1c26dc65b120f5ff3afe52f10c4906e202d,proto,kink_bridge,3,1,3,0,[]
T_0114,33519537a9611bc311cf62ffb4dfdb9ece02e5b3,exact,rail_ladder,3,1,3,0,[]
T_0120,02771a31df24fdde0f2dd10fb27418e4914f703b,exact,rail_ladder,3,1,3,0,[]
T_0123,749888202948a3f0b1e7c60707d9560628f83ea9,exact,adjacent,3,1,3,0,[]
T_0128,d64d9d28cacd77f1ce6128345701182da857bf8a,exact,rail_ladder,3,1,3,0,[]
T_0131,e4b6e6baaaaf2b13480fa4aa6e6c5adaa71ac5a8,exact,kink_bridge,3,1,3,0,[]
T_0133,4214a2dd234465f5be0ffdfd3bdd410d338b795d,exact,kink_bridge,3,1,3,0,[]
T_0136,6310bc4542c07a45c5953d519add916a38c2e3da,proto,kink_bridge,3,1,3,0,[]
T_0147,e21e2d00bdbca4cf4169289451ddc684ba0d7dab,exact,rail_ladder,3,1,3,0,[]
T_0156,51c88aaf4e119fd835138ffb9e72d717253d3edf,proto,kink_bridge,3,1,3,0,[]
T_0158,53e07b81d1e1c396f59475871a000074ba15150c,proto,rail_ladder,3,1,3,0,[]
T_0159,a5e49d040faff064babe29bbc1b7302af92f41cf,proto,bridge_fork,3,1,3,0,[]
T_0160,b7ded5e600434e26069150e658432ed8c78f8b58,proto,adjacent,3,1,3,0,[]
T_0161,d44ee2a79f877c5c112711d86d4f87496ef68b43,proto,kink_bridge,3,1,3,0,[]
T_0162,88ba5c885a981d89255ad257fa365239e28668d2,proto,rail_ladder,3,1,3,0,[]
T_0163,f6daba85f83b3f118053d9a9b970aa953c14ead1,proto,bridge_fork,3,1,3,0,[]
T_0164,463df0fb8cd128dea0990a32376cc8850d8773db,proto,adjacent,3,1,3,0,[]
T_0165,826789beec1ea5023eea70f1604a91fd10bc4b2e,proto,rail_ladder,3,1,3,0,[]
T_0166,5b8ee223668dd27721c644b93e816b1da7a58a4e,proto,adjacent,3,1,3,0,[]
T_0167,ad6e0a0a70b0f34a4451dd47f7aea3e61da10fa9,proto,kink_bridge,3,1,3,0,[]
T_0168,79e848f277046dda1094a76fbf1c8d2ca1e8e47e,proto,adjacent,3,1,3,0,[]
T_0170,1cc9446f42c468036b4caef3b374cf4e3696657c,proto,adjacent,3,1,3,0,[]
T_0171,2e35701effc176740417f0fe9d171a2c79cb1232,proto,rail_ladder,3,1,3,0,[]
T_0172,03f4ee1b2065c4e180c135e56efc573c88ece0d0,proto,bridge_fork,3,1,3,0,[]
T_0173,5ae4e255cea8134d65c67edd1dc7840ca7a294de,proto,bridge_fork,3,1,3,0,[]
T_0174,a5ac2940842c08412562258b45cb0d4f948ea0bf,proto,adjacent,3,1,3,0,[]
T_0175,bc5d3c2ecb61b638f6a25f226d55caa3a6a1b2e8,proto,kink_bridge,3,1,3,0,[]
T_0176,a0baad23538310aa6f6c6336d814b74c6bf0be8f,proto,kink_bridge,3,1,3,0,[]
T_0177,c6ae1c99661adfdfbf0ac294f86454a628ca9eec,proto,kink_bridge,3,1,3,0,[]
T_0179,2056f4939945647b428fd308c50e25253b788321,proto,kink_bridge,3,1,3,0,[]
T_0180,960ba90a85592024c5073aef5e3084f32a2acd08,proto,kink_bridge,3,1,3,0,[]
T_0181,9d46f9bf4e137f6936ea387c15add7f72baf0e48,proto,kink_bridge,3,1,3,0,[]
T_0182,19889b51c77a142dee780ef0a8ad4abbb13d120f,proto,kink_bridge,3,1,3,0,[]
T_0183,59fb4ba269ebd151dd52658b7bf1804ea1eb5c1d,proto,rail_ladder,3,1,3,0,[]
T_0184,f027a785101a93f984b7b896d9cbdd8a3aacf759,proto,kink_bridge,3,1,3,0,[]
T_0185,91910c94accae0e39efa12006863e90e1eabe17f,proto,kink_bridge,3,1,3,0,[]
T_0186,ec4b20d217d8630afd8071146515e95d06386d0a,proto,kink_bridge,3,1,3,0,[]
T_0187,33a5981071b23ac126312aaf68622b94414af7bc,proto,rail_ladder,3,1,3,0,[]
T_0188,516f0e2e4702a6db89d9cf5a7541c4baf6410c95,proto,kink_bridge,3,1,3,0,[]
T_0189,2c08f5f95ebdd3cafc86fa87e547c2a1339310ef,proto,kink_bridge,3,1,3,0,[]
T_0190,c7e7ecc9e8897a4217bc98cceae0ccc6f76d38d9,proto,rail_ladder,3,1,3,0,[]
T_0191,9ab7846db2f5375b6b0762f3b7fef9f700ca018f,proto,kink_bridge,3,1,3,0,[]
T_0192,e18b57739ee6ed7de830741f7b9247863bdea8fa,proto,kink_bridge,3,1,3,0,[]
T_0193,65eb2a23f9e5a2ce8d0a4661bbe6842d945122ce,proto,kink_bridge,3,1,3,0,[]
T_0194,b3661d11c3385c36a6a02952d1c0b84a06d93ca4,proto,rail_ladder,3,1,3,0,[]
T_0195,d3aa06d1af8db7c42e5723bdf710c165abb67ff8,proto,kink_bridge,3,1,3,0,[]
T_0196,369f759eb11fcd91dc2a4de1d19844c7a6810893,proto,kink_bridge,3,1,3,0,[]
T_0197,71e5e9af18845238b3bb2f25dcaa77985277092f,proto,kink_bridge,3,1,3,0,[]
T_0198,a0d9939b59030d5d4e1ac0ba01f3ec8122410bef,proto,kink_bridge,3,1,3,0,[]
T_0199,8e2d8d05956726cb613f22d7d655707cee914aec,proto,rail_ladder,3,1,3,0,[]
T_0200,5fc9d5584269228065f55c1440ab3c7db9e94009,proto,kink_bridge,3,1,3,0,[]
T_0201,ec60927b1493cdc72269d800dfb293f2c570602a,proto,rail_ladder,3,1,3,0,[]
T_0202,7f0b578f1a2f639c27a033612583ff5f0ed62736,proto,rail_ladder,3,1,3,0,[]
T_0203,ac57b65d663661e89437f0d5f6cc12f6f8a80c36,proto,rail_ladder,3,1,3,0,[]
T_0204,a3c4a6276ce925501778b4b8ff994c01f851342f,proto,kink_bridge,3,1,3,0,[]
T_0205,813a07eccebe0e629d1021850818ddf905259eea,proto,kink_bridge,3,1,3,0,[]
T_0206,88b967d01e1f87cbc22d3e590b8a8982d49a3a0c,proto,kink_bridge,3,1,3,0,[]
T_0207,d87db81a26f79a6c5ef3bfe4dad3dcf2eecc4d3c,proto,kink_bridge,3,1,3,0,[]
T_0208,a2b94cc9ddc6c2f2ecf551eb07a870311d3016b9,proto,kink_bridge,3,1,3,0,[]
T_0209,9a9e89901abed4062d70534264efb05129b84d34,proto,rail_ladder,3,1,3,0,[]
T_0210,b8931422f7c84c8e3261f2b0bd85880429ea19fb,proto,kink_bridge,3,1,3,0,[]
T_0211,3f9304eb0680b88809f3812106bc990a7c52e2a1,proto,kink_bridge,3,1,3,0,[]
T_0212,ff5c71034821c8ea97b0255188a51908667c71a4,proto,kink_bridge,3,1,3,0,[]
T_0213,08de99b709d5cd0dc4fc6bc60f637f4ecdfcccc1,proto,kink_bridge,3,1,3,0,[]
T_0216,b0076a4628cf55caea53b5723ff22db78fd947bd,proto,rail_ladder,3,1,3,0,[]
T_0217,61ceb81a70e1c28c0904ff32c08cfb756540243b,proto,adjacent,3,1,3,0,[]
T_0218,e55c212633307e3272162efa9aee3fc3027f605b,proto,adjacent,3,1,3,0,[]
T_0219,50d6366470ac12a46255a9efc65eb6e23f1da8f3,proto,kink_bridge,3,1,3,0,[]
T_0221,562f29e8393b9a3644f810a94403824013f9c5b9,proto,kink_bridge,3,1,3,0,[]
T_0222,72a797da8b3539fcb59d9bc7e76ef93c37089a4c,proto,kink_bridge,3,1,3,0,[]
T_0223,bc5537b3f67f592d038c6a5257d905db09cfd08e,proto,kink_bridge,3,1,3,0,[]
T_0226,d9db7b532ef9839803279de728e9f93a0017836b,proto,kink_bridge,3,1,3,0,[]
T_0227,c1d225511647c2c5383068881c4178272037fc48,proto,kink_bridge,3,1,3,0,[]
T_0228,10c069cf3c4e55a9c1b839089f2f5675a64ffa26,proto,adjacent,3,1,3,0,[]
T_0229,5d9ad4c69d89391348b2363d6253fffb71684c27,proto,adjacent,3,1,3,0,[]
T_0230,502243ec4f2671c2dd1350ffc73d68a41bb98ae5,proto,rail_ladder,3,1,3,0,[]
T_0231,30c332a4a6f62d510a34b6be6313fbbbd5aeaa40,proto,rail_ladder,3,1,3,0,[]
T_0232,80db9e11564ddeee9d3784d579297f19dcf9c0cb,proto,bridge_fork,3,1,3,0,[]
T_0233,894561ce488e32c044c6514453350c959944cbec,proto,bridge_fork,3,1,3,0,[]
T_0235,bb7ab59bff97b54c7e84d4d7efc746274a8bdc94,proto,rail_ladder,3,1,3,0,[]
T_0236,f60ca34aad5468b950276641823ec176c40517fd,proto,kink_bridge,3,1,3,0,[]
T_0237,412be542cd667ce6e32873b58c1c7f074b322d63,proto,kink_bridge,3,1,3,0,[]
T_0239,9ce7b7973c3c69f2b4d903c613c0f3be12494ffa,proto,kink_bridge,3,1,3,0,[]
T_0240,20f7bf0b4eccf1abd549b56076c62a6e4f8efa87,proto,kink_bridge,3,1,3,0,[]
T_0241,5411649219e7020da353e82e451d42ec9fc62b47,proto,kink_bridge,3,1,3,0,[]
T_0242,0fd6c1d150d872ba0228e7ac0eb43ba99af99acb,proto,kink_bridge,3,1,3,0,[]
T_0243,114b1ca8823fcb874fc55ff282654733de38fe76,proto,rail_ladder,3,1,3,0,[]
