conway_embedding_signature,templates,events,families,manifold_labels,mean_convex_deficit,mean_boundary_edges,mean_a2_diameter
"(2, 1, 0, 35, '(8, 8, 6)', (13, 13, 9, 9, 8, 8), ((9, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 1, 1)))",2,2,"{""kink_bridge"":2}","{""disk"":2}",35.0,60.0,8.0
"(2, 1, 0, 35, '(8, 8, 6)', (13, 13, 9, 9, 8, 8), ((9, 2, 1, 1, 1, 1, 1), (7, 2, 1, 1, 1, 1, 1, 1, 1), (3, 2, 2, 2, 2, 2, 1, 1, 1)))",2,2,"{""bridge_fork"":1,""kink_bridge"":1}","{""disk"":2}",35.0,60.0,8.0
"(2, 1, 0, 32, '(10, 8, 5)', (13, 13, 10, 10, 6, 6), ((9, 2, 2, 1, 1, 1), (6, 2, 2, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":2}","{""disk"":2}",32.0,58.0,10.0
"(2, 3, 0, 53, '(10, 8, 8)', (15, 15, 11, 11, 8, 8), ((9, 2, 1, 1, 1, 1, 1), (6, 3, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1)))",2,2,"{""kink_bridge"":2}","{""disconnected"":2}",53.0,68.0,10.0
"(2, 1, 0, 43, '(8, 8, 8)', (15, 15, 9, 9, 9, 9), ((9, 1, 1, 1, 1, 1, 1, 1, 1), (9, 1, 1, 1, 1, 1, 1, 1, 1), (2, 2, 2, 2, 2, 2, 2, 2, 1)))",1,2,"{""adjacent"":1}","{""disk"":1}",43.0,66.0,8.0
"(2, 1, 0, 22, '(9, 9, 9)', (14, 14, 13, 13, 13, 13), ((9, 9, 9, 5, 5, 4, 4, 4, 3, 1), (9, 9, 7, 5, 5, 5, 5, 4, 3, 1), (9, 8, 6, 6, 5, 5, 5, 4, 3, 2)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",22.0,80.0,9.0
"(2, 1, 0, 23, '(10, 9, 8)', (14, 14, 13, 13, 13, 13), ((9, 9, 8, 5, 5, 5, 4, 3, 3), (9, 9, 6, 5, 4, 4, 4, 4, 3, 2, 1), (9, 7, 7, 5, 5, 5, 4, 4, 4, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",23.0,80.0,10.0
"(2, 1, 0, 24, '(10, 9, 8)', (14, 14, 13, 13, 13, 13), ((9, 9, 6, 5, 5, 4, 4, 4, 2, 1, 1), (9, 8, 8, 5, 5, 5, 4, 3, 3), (9, 7, 7, 5, 5, 5, 4, 4, 3, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",24.0,80.0,10.0
"(2, 1, 0, 28, '(9, 9, 8)', (20, 20, 19, 19, 12, 12), ((9, 9, 4, 4, 4, 4, 4, 2, 2), (9, 9, 4, 4, 4, 3, 3, 3, 2, 1), (8, 8, 4, 4, 4, 4, 3, 3, 2, 2)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",28.0,102.0,9.0
"(2, 1, 0, 28, '(9, 9, 8)', (19, 19, 18, 18, 13, 13), ((9, 9, 4, 4, 4, 3, 3, 3, 2, 1), (9, 8, 4, 4, 4, 4, 4, 3, 2), (9, 8, 4, 4, 4, 4, 3, 3, 2, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",28.0,100.0,9.0
