template_id,canonical_signature,abstract_incidence_signature,kind,family,tau,pressure,num_obligations,is_abstract_atom,contained_abstract_atom_count,contained_abstract_atoms
T_0278,7343a209f6f02cbcac9e367b609bd8e24847c1cb,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0281,51ba7c26fb5dce3b33e096f9464f02850ac8baca,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0282,d54d93548999084670eb551c638e1306154d7c7b,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0285,d80a350fbacabe4372988ce55ade34d8a7e8d7e5,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0286,9ca8c619c61658d7f3d3e6df4eced2e1923f43b0,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0287,5b2f7dd790bc114ca26de10929a3c5dd444549b1,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0290,582e82dfa8b24d8b07323e26b743034a8eb101a4,b52de54b49adc7fe6744920d8adb17ea42037493,proto,rail_ladder,3,1,3,0,2,"[""T_0120"",""T_0250""]"
T_0291,139459f413975e193bc9bf67ff67160f9d55eeed,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0292,5fbed499f068ea81a9ce1808e7f13f975588de82,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,rail_ladder,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0293,67dc7600f4cecb66fe66e33b44a080619e1721f6,d5bed3f05f98aad2285d75db11a321bf38496518,proto,kink_bridge,3,1,3,0,2,"[""T_0171"",""T_0250""]"
T_0294,2383e0c7eb184875af1080a9a9c35f7411be5bc0,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,kink_bridge,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0295,97d6e92f78257cded1f46b0686c4e851317b13ac,6bc2f23382f01b68fc50f4694dd54b7260c7ce73,proto,adjacent,3,1,3,0,3,"[""T_0120"",""T_0171"",""T_0250""]"
T_0296,001d77d375f84ac1113cd11c32812b4e80515549,d5bed3f05f98aad2285d75db11a321bf38496518,proto,bridge_fork,3,1,3,1,2,"[""T_0171"",""T_0250""]"
