family,pair_shape,a2_support_signature,d6_stabilizer_order,templates,events,mean_d6_orbit_size,burnside_fixed_mass
bridge_fork,"(-2, 1)","(8, 8, 2)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(9, 8, 2)",1,1,1,12.0,0.083333
kink_bridge,"(-3, 1)","(8, 8, 2)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 1)","(11, 10, 2)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(9, 8, 5)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(7, 7, 2)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 1)","(7, 7, 2)",1,1,1,12.0,0.083333
bridge_fork,"(-2, 1)","(7, 7, 2)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 3)","(7, 7, 3)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(7, 7, 2)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(8, 7, 1)",1,1,1,12.0,0.083333
rail,"(-2, 0)","(7, 7, 2)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(7, 7, 4)",1,1,1,12.0,0.083333
bridge_fork,"(-2, 1)","(9, 7, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 2)","(9, 7, 5)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 2)","(10, 9, 5)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(10, 7, 6)",1,1,1,12.0,0.083333
rail_ladder,"(-2, 0)","(8, 7, 5)",1,1,1,12.0,0.083333
rail_ladder,"(-2, 0)","(9, 7, 5)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(10, 7, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(10, 7, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(10, 9, 7)",1,1,1,12.0,0.083333
rail_ladder,"(-4, 0)","(10, 7, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 1)","(10, 9, 5)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(10, 7, 5)",1,1,1,12.0,0.083333
rail_ladder,"(-4, 0)","(10, 9, 5)",1,1,1,12.0,0.083333
rail_ladder,"(-2, 0)","(10, 8, 7)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(10, 8, 5)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 1)","(12, 8, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(10, 8, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 1)","(10, 8, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 3)","(13, 8, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-7, 3)","(13, 8, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(10, 9, 7)",1,1,1,12.0,0.083333
rail_ladder,"(-4, 0)","(10, 9, 9)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(10, 8, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 2)","(8, 8, 5)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(9, 8, 7)",1,1,1,12.0,0.083333
rail_ladder,"(-3, 0)","(8, 8, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(8, 8, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(8, 8, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(8, 8, 5)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(8, 8, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(8, 8, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-4, 1)","(7, 7, 5)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 2)","(10, 7, 6)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(10, 7, 5)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 2)","(10, 7, 5)",1,1,1,12.0,0.083333
rail,"(-7, 0)","(8, 8, 7)",1,1,1,12.0,0.083333
kink_bridge,"(-7, 3)","(8, 7, 5)",1,1,1,12.0,0.083333
adjacent,"(-1, 0)","(8, 8, 1)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 1)","(10, 8, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-5, 2)","(10, 8, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-6, 2)","(10, 8, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-7, 2)","(10, 8, 8)",1,1,1,12.0,0.083333
kink_bridge,"(-7, 3)","(10, 8, 8)",1,1,1,12.0,0.083333
